"","x"
"1","ACE2"
"2","ADAM32"
"3","ADAMTS20"
"4","ADHFE1"
"5","AGER"
"6","AGR2"
"7","AKR1C1"
"8","ALDH7A1"
"9","ALDOC"
"10","ALG1L"
"11","ANKS4B"
"12","AQP1"
"13","AQP3"
"14","ARHGDIB"
"15","ARL14"
"16","ARL9"
"17","ART4"
"18","ASCL1"
"19","ASZ1"
"20","AURKC"
"21","B3GNT8"
"22","BAAT"
"23","BAG2"
"24","BAGE"
"25","BCAR4"
"26","BHLHA15"
"27","BHMT2"
"28","BIVM"
"29","BST1"
"30","BVES"
"31","C11orf16"
"32","C11orf53"
"33","C16orf62"
"34","C16orf86"
"35","C17orf98"
"36","C1orf162"
"37","C1orf210"
"38","C2orf74"
"39","C3orf30"
"40","C5"
"41","CABP4"
"42","CABYR"
"43","CAPG"
"44","CARD16"
"45","CASP8"
"46","CC2D2A"
"47","CCDC36"
"48","CCDC50"
"49","CCRL2"
"50","CDH26"
"51","CDO1"
"52","CEL"
"53","CFTR"
"54","CHRNA9"
"55","CIDEB"
"56","CLDN4"
"57","CLEC2A"
"58","CLGN"
"59","CLIP4"
"60","COX7B2"
"61","CP"
"62","CPB2"
"63","CREB3L4"
"64","CSAG1"
"65","CSTA"
"66","CTAG2"
"67","CTSE"
"68","CXCL5"
"69","CXCL6"
"70","CYB5A"
"71","DAPP1"
"72","DCAF4L2"
"73","DCAF8L1"
"74","DDX25"
"75","DGKE"
"76","DKK4"
"77","DMGDH"
"78","DMRTA1"
"79","DMRTC2"
"80","DPPA2"
"81","DPY19L2"
"82","DQX1"
"83","DSC3"
"84","EFS"
"85","ELF3"
"86","ELF5"
"87","ELOVL3"
"88","ELOVL4"
"89","ENO3"
"90","EPGN"
"91","EPHA7"
"92","EPHX3"
"93","EREG"
"94","ERN2"
"95","EYA4"
"96","FAM118B"
"97","FAM84A"
"98","FAM92A1"
"99","FBXO27"
"100","FES"
"101","FLJ36000"
"102","FNDC4"
"103","FOXA3"
"104","FOXG1"
"105","FTHL17"
"106","FUT9"
"107","GAGE12J"
"108","GAGE13"
"109","GALM"
"110","GAS5"
"111","GATM"
"112","GBP4"
"113","GCNT3"
"114","GH2"
"115","GIPC2"
"116","GLRB"
"117","GNPDA2"
"118","GPR62"
"119","GREB1L"
"120","GSTM1"
"121","GSTM5"
"122","GSTO1"
"123","GTSF1"
"124","H2AFJ"
"125","HCG4"
"126","HDGFRP3"
"127","HFE"
"128","HHLA2"
"129","HIST1H1D"
